,Questions,Answers
0,what is the main cause of hiv1 infection in children,mothertochild transmission is the main cause of hiv1 infection in children worldwide 
1,what plays the crucial role in the mother to child transmission of hiv1 and what increases the risk,dcsignr plays a crucial role in mtct of hiv1 and that impaired placental dcsignr expression increases risk of transmission
2,how many children were infected by hiv1 in 20082009 worldwide,more than 400000 children were infected worldwide mostly through mtct and 90% of them lived in subsaharan africa 
3,what is the role of cc motif chemokine ligand 3 like 1 in mother to child transmission of hiv1,high copy numbers of ccl3l1 a potent hiv1 suppressive ligand for ccr5 are associated with higher chemokine production and lower risk of mtct of hiv1 among south african infants
4,what is dcgenr and where is it expressed,dendritic cellspecific icamgrabbing nonintegrinrelated  can interact with a plethora of pathogens including hiv1 and is expressed in placental capillary endothelial cells
5,how does the presence of dcsignr affect the mtct of hiv1,the presence of dcsignr at the placental endothelial cell surface may protect infants from hiv1 infection by capturing virus and promoting its degradationpresentation 
6,why do low levels of dcsignr enhance mother to child transmission of hiv1,in placenta containing low levels of dcsignr hiv1 would preferentially binds ccr5 on endothelial cells resulting in a loss of placental barrier integrity and enhanced passage of maternal hiv1infected cells in foetal circulation leading to mtct of hiv1
7,what is the percentage of mother to child transmission of hiv1 when there is no intervention,without specific interventions the rate of hiv1 mothertochild transmission is approximately 1545%
8,does cc chemokine receptor type 5 affect the transmission of hiv1,genetic variants in ccr5 have been shown to influence vertical transmission of hiv1 ccr5 promoter variants resulting in higher expression of the receptor were associated with increased risk of mtct of hiv1 among subsaharan africans
9,how does mannanose binding lectin affect elimination of hiv1 pathogen,mannosebinding lectin is an innate immune receptor synthesised in the liver and secreted in the bloodstream in response to inflammation signal mbl promotes pathogen elimination by opsonization and phagocytosis
10,how can ccr5's effect in hiv1 transmission be reduced,the 32pb deletion polymorphism in ccr5 has be shown to protect from vertical transmission of hiv1
11,what is ifitm,interferoninduced transmembrane
12,how many cysteine residues are contained in the first transmembrane domain of ifitm3,three
13,what inhibits spalmitoylation,2bromopalmitic acid 
14,what interaction is inhibited by the presence of 2bromopalmitic acid ,ifitm5 with fkbp11
15,what is a function associated with ifitm5,bone formation factor
16,what regulates the antiviral activity of ifitm3,spalmitoylation on the protein
17,what is another name for ifitm5,bonerestricted ifitmlike protein
18,why is the expression of ifitm5 not promoted by interferons,the region upstream of the ifitm5 gene lacks the interferon regulatory elements
19,what is the amino acid similarity between ifitm5 and the other ifitm proteins, 65% similarity
20,what is the amino acid similarity between ifitm 1 ifitm 2 and ifitm 3, 85% similarity
21,what amino acid might be involved in calcium binding in the cterminal region of a protein,aspartate
22,what is the size of bovine coronavirus,31 kb
23,what is the molecular structure of bovine coronavirus,singlestranded linear and nonsegmented rna
24,how many nucleotides does bovine coronavirus contain,30847 nucleotides
25,what is the size of the orf1ab gene in bovine coronavirus,20kb
26,is the orf1ab gene at the 3' or 5' end of the bovine coronavirus genome,5 side
27,what is a significant cause of influenze like illness among healthy adolescents and adults presenting for medical evaluation,hcov
28,"what is the most common species of human coronavirus among adults
",hcovoc43
29,which human coronavirus showed species specific clinical characteristics of its infection,hcov‐hku1
30,what causes the outbreak of sars and mers,highly virulent species of hcov
31,what is the case fatality rate of sars and mers,ranged from 14% to 45%
32,what were the common hcov strains in the 5 year usa study, hcovoc43 and hcov229e
33,which species are more prevalent but less severe,hcovhku1 hcovoc43 hcovnl63 and hcov229e
34,what is required for a hepatitis b infection in cells,both intracellular and cellsurface factors
35,what regulates the broad but less specific viruscell interaction in a hepatitis b infection,heparan sulfates in the membrane proteins
36,which protein domain of the hepatitis b envelope is necessary for infection,nterminus of hbv pres1 
37,where is ntcp located in the body,lateral surface of hepatocytes
38,what does the ntcp protein mediate,bile acid transport 
39,is ntcp sufficient to allow hbv infection,not sufficient
40,why is ntcp thought to not be sufficient for hbv infection,the majority of heparg cells were found to express npct but not to be infected
41,what kinds of viruses are japanese encephalitis virus tickborne encephalitis virus eastern equine encephalitis virus  sindbis virus and dengue virus,arboviruses
42,what are the current clinicallyavailable methods to detect encephalitis viral antigens,elisa and ifa
43,what methods exist for detecting multiple antigens simultaneously in a onesample laboratory test,twodimensional gel electrophoresis  protein chip mass spectrometry and suspension array technology
44,how many antigens could be detected by liew's multiplex elisa test,9
45,what kind of antibodies were used in the elisaarray assay,monoclonal
46,how was the elisa assay validated,using cultured viruses and inoculated chicken eggs with patient sera
47,what capture antibodies were used in the study,4d5 2b5 1f1 2b8 4f9 and 4e11
48,what was the spotting concentration range for the capture antibodies,from 02 to 00125 mgml
49,how was the proper spotting concentration determined,combination of minimized cross reaction and higher signal intensity
50,how was cross reaction detection determined,by applying jev yf and dv cultures
51,how was the elisaarray assay validated,using cultured viruses and inoculated chicken eggs with patient sera
52,in 2010 how many cases of tuberculosis were estimated in china,108 per 100000
53,what is the population of shandong province,94 million
54,what was the purpose of this study,estimate the tb prevalence in shandong
55,what was the age range for the people surveyed,15 years old or above
56,how was the survey designed,in accordance with who recommendations
57,was was the sample size,52500
58,how were the clusters selected,a stratified multi stage random sampling
59,how many people were in a community cluster,1250 to 1750
60,who was excluded from the study,military barracks and prisons
61,when was the study conducted,march to june 2010
62,who conducted the study,clinicians public health doctors radiologists laboratory technicians and nurses
63,what medium was used to collect the sputum samples,löwensteinjensen medium
64,what was the response rate for the study,95% to 97%
65,what was the average age of a study participant,46 years
66,what was the prevalence rate in shandong in 2010 for sputum positive cases of tuberculosis,221
67,what was the most striking finding of the study regarding tuberculosis patients,a large proportion of tb patients did not present consistent cough
68,how many cases of sputum positive tuberculosis patients had no persistent cough,45%
69,how many tuberculosis patients in shandong were over 65 years old,over half
70,what enzymes have been reported to be linked with severity of infection and various pathological conditions caused by microorganisms,cysteine proteases
71,at what temperatures was the assay completed,32uc 37uc 42uc
72,what criteria sets the guideline for druglike properties,lipinski's ''rule of five''
73,what could be novel candidates as potent inhibitors of papain like cysteine proteases in resistant microorganisms,1substituted pyridylimidazopyridine derivatives
74,what method is useful in administering small molecules for systemic delivery to the body,intranasal
75,why is the nasal mucosa useful in the delivery of small molecules into the body,the surface area can result in rapid absorption of the medication into the blood
76,what are the most common methods of inhaled delivery of medications,metered dose inhalers and dry powder inhalers 
77,what medications have shown good promise to in vivo delivery via dry powder inhalers,insulin and lowmolecularweight heparin 
78,how are sirnas typically delivered for systemic effect,intratracheal or intranasal delivery
79,what structures form the human airway,respiratory bronchioles alveolar ducts and alveolar sacs
80,what size of particle has been shown to be most effective in the delivery to the lower airway,15 μm
81,what are the essential conditions in sirna delivery to effectively produce gene silencing in the lungs,delivered to their site of action be stable enter the target cells and be present in the cytoplasm at sufficient concentration
82,how long is the saibk gene,27534 nucleotides
83,how many open reading frames are in the saibk gene,10
84,what virus has the closest genetic identity with the saibk gene,chinese ibv strain sc021202
85,how many surgical masks or respirators have past studies projected will be required for a pandemic in the united states,an estimated 73 billion
86,what is the acronym merscov,middle east respiratory syndrome coronavirus
87,what are the critical factors that determine the effect of an epidemic,transmissibility and severity
88,when did the world health organization officially declare the 2019ncov epidemic as a public health emergency of international concern,january 30 2020
89,what influenza virus was identified in china in 2013,h7n9
