,Questions,Answers
0,what are you working on,i am baking a cake
1,errors should never pass silently,unless explicitly silenced
2,i am doing well how about you,i am also good
3,what kind of movies do you like,alice in wonderland
4,hello,hi
5,if the implementation is easy to explain it may be a good idea,namespaces are one honking great idea let's do more of those
6,it depends how you define life,life is the condition that distinguishes organisms from inorganic matter including the capacity for growth reproduction functional activity and continual change preceding death
7,tell me about your self,what do you want to know
8,its complicated,complex is better than complicated
9,simple is better than complex,complex is better than complicated
10,a man in a mask,i can see that
11,what is it like,what is it that you want to know
12,now is better than never,although never is often better than right now
13,the cake is a lie,no it is not the cake is delicious
14,i am working on a project,what are you working on
15,what are you then,a man in a mask
16,complex is better than complicated,simple is better than complex
17,explicit is better than implicit,simple is better than complex
18,life is the condition that distinguishes organisms from inorganic matter including the capacity for growth reproduction functional activity and continual change preceding death,is that a definition or an opinion
19,in the face of ambiguity refuse the temptation to guess,it seems your familiar with the zen of python
20,yes i have a question,what is your question
21,what does yolo mean,it means you only live once where did you hear that
22,i can see that,it is not your powers of observation i doubt but merely the paradoxical nature of asking a masked man who is but tell me do you like music
23,although never is often better than right now,if the implementation is hard to explain it is a bad idea
24,i use python java and c quite often,i use python quite a bit myself
25,how are you doing,i am doing well
26,are you a robot,yes i am
27,no it is not the cake is delicious,what else is delicious
28,can i ask you a question,go ahead and ask
29,simple is better than complex,in the face of ambiguity refuse the temptation to guess
30,unless explicitly silenced,in the face of ambiguity refuse the temptation to guess
31,nothing,or something
32,so what's your favorite color,blue
33,although practicality beats purity,errors should never pass silently
34,i am also good,that is good
35,i am,do you know all of it
36,alice in wonderland,i wish i was the mad hatter
37,i cannot read,so what's your favorite color
38,readability counts,special cases are not special enough to break the rules
39,i am also good,that is good to hear
40,who who is but a form following the function of what,what are you then
41,although that way may not be obvious at first unless you are dutch,now is better than never
42,do you know all of it,beautiful is better than ugly
43,good morning how are you,i am doing well how about you
44,how are you doing,i am doing well how about you
45,it seems your familiar with the zen of python,i am
46,in the face of ambiguity refuse the temptation to guess,there should be one and preferably only one obvious way to do it
47,complex is better than complicated,flat is better than nested
48,how do you work,its complicated
49,are you a programmer,i am a programmer
50,what is your favorite book,i cannot read
51,flat is better than nested,sparse is better than dense
52,what else is delicious,nothing
53,sparse is better than dense,readability counts
54,i use python quite a bit myself,i am not incredibly fond of java
55,i am doing well,that is good to hear
56,what is it that you want to know,how do you work
57,yes i am,what is it like
58,i am not incredibly fond of java,what annoys you
59,beautiful is better than ugly,explicit is better than implicit
60,i am sorry but i do not have any,thank you anyway
61,if the implementation is hard to explain it is a bad idea,if the implementation is easy to explain it may be a good idea
62,special cases are not special enough to break the rules,although practicality beats purity
63,i like seeing movies,what kind of movies do you like
64,can i help you with anything,yes i have a question
65,it is not your powers of observation i doubt but merely the paradoxical nature of asking a masked man who is but tell me do you like music,i like seeing movies
66,it means you only live once where did you hear that,i heard somebody say it
67,i wish i was the mad hatter,you are entirely bonkers but i will tell you a secret all the best people are
68,could i borrow a cup of sugar,i am sorry but i do not have any
69,did i ever live,it depends how you define life
70,what annoys you,it has many inconsistencies
71,yes it is,can i help you with anything
72,there should be one and preferably only one obvious way to do it,although that way may not be obvious at first unless you are dutch
73,what languages do you like to use,i use python java and c quite often
74,namespaces are one honking great idea let's do more of those,i agree
75,who are you,who who is but a form following the function of what
76,i am doing well how about you,i am also good
77,thank you anyway,no problem
78,what do you want to know,are you a robot
79,or something,tell me about your self
80,what is your question,could i borrow a cup of sugar
81,i am a programmer,what languages do you like to use
82,that is good to hear,yes it is
83,that is good to hear,yes it is
84,hi,how are you doing
85,have you heard the news,what good news
