,Questions,Answers
0,a friend of my child's father is sending him inappropriate content,it sounds like you are wanting to protect your child from degrading images and that is one of the important parts of the job of a parent although it is challenging to supply an answer without knowing the full situation it might be helpful to have a more broad discussion about what you both think about the influences and images that your child is exposed to and what you think your role is in protecting your child this situation is one about beliefs and values and could well be an example you can use for exploring your parenting roles in protecting your child
1,about a year ago i found out my husband had cheated on me,first of all my heart goes out to you infidelity is an extremely challenging obstacle to overcome there are some things that you should consider first of all did he seem truly remorseful if you felt in his heart that he was truly sorry for what he had done it will give you a piece of mind that it was a  mistake secondly was he forthcoming with this information how about with answering your questions after the truth was uncovered if you found that he was still lying or not forthcoming the sting is even more painful he should be able to answer any question you have honestly and without hesitationthirdly has he shown a positive difference after this experience at this time he should still be proving his faithfulness to the marriage you and the childrenkeep in mind that experiencing infidelity is a form of grief it is not a quick process that can easily be overcome what you are experiencing is 100% normal my best suggestion would be to see a marriage therapist find out what drove your husband to cheat in the first place and decide if this aspect in his life has been resolved i know its important for you to keep your family together but children can sense anger and frustration this is not a healthy environment either if you decide that you can no longer remain in the relationship a therapist will also be able to help you cope with the separation along with addressing your childrengs needsplease know that you are not alone and that unfortunately many relationships have endured this very thing it may also be helpful to reach out to people who have experienced similar obstacles the web is a great resource to find groups whether online or in person to use as a support or sounding boardbest of luck to you and your family
2,all i can do is cry and hate myself,crying due to a dissolution of a marriage is normal  hating yourself may be a sign of extreme sadness feelings of loss and uncertaintydo you know why you hate yourself discovering your reason is the first step in knowing the obstacles and then the additional steps possible to move from hate to selflovedivorce signals a loss of familiar life structure and daily routines   as with any meaningful loss crying is part of mourning what is soon to be goneif you have confidence in your attorney's handling of the legal areas related to the divorce and the impossible you reference is on facing and coming to terms with statements and behaviors from your wife that you never noticed before then your best choice is to find a therapist whom you feel at ease in talking with to sort through the emotional upheaval within yourself and your everyday life and worlddivorce is a wonderful time for learning about ones own emotional needs and expectations in relationships since these are the areas currently coming apartthe good news behind losing something that seems valuable is that new space becomes open to attract what is more suitable for who you are
3,am i a lesbian because i love a girl,it all depends how old you are and what a particular situation is  you may be feeling very close to this friend and mistake that feeling for sexual feeling or the feelings may be real this is something you will find out for yourself however it definitely does not mean that you are a lesbian just because you have those feelings for this particular person time will tell but if you need to discuss this you could see your school councelor or find a lgbt group with meetings and discuss this with them i hope this is helpful
4,am i being picky when it comes to my boyfriend,well then your decision is whether you want to stay in this type of relationship or notone point to keep in mind is thisjust because he is not telling you his opinions does not mean he does not have any opinionsin the long run t is always easier to talk with someone about their differences from our point of view than to be someone who does not tell you what is in their mindshort term it seems easy to have someone agreeablelong term someone who does not tell you their thoughts and who disagrees with you may potentially go about their true wishes in hidden ways
5,am i gay if i like neither girls nor guys,it does not sound like you are finding yourself attracted to anyone  it could mean that you just have not connected with anyone you find attractive or that you are asexual  essentially not oriented toward anyone  i would suggest doing some reading on asexuality and see if it connects to how you feel
6,am i going to be alone forever,"i can relate when things are going badly i feel like my life has
always been and will always be that way but i also do this when things are
going well that is i forget how good things can turn bad personally to
avoid this emotional rollercoaster i try and heed the famous advice by author
and feminist rita mae brown one of the keys to happiness is a bad
memoryso maybe this weakness of your for forgetting is really a
strength it sounds a lot like living in the moment to me and while it’s hard
to manage my past and my future the moment seems like a small enough piece of
temporal real estate to sort out so that’s the “what” of my answer the “how”
goes like this choose one from column a two from column b and three from
column c in the following chart then try doing them for as long as you can
then see what happensa                                            b                                                  cgratitude                                forgiveness                                 appreciationexpectations                           meditation                                    exercisebitterness                               distraction                                    volunteering
resentment                            substances                                  worryregret                                    possessions                                 pessimismshame                                    desire                                          superstitionrage                                      isolation                                        wishingselfloathing                           criticism                                       withholding if you feel as though what you
think and believe are out of your control or that your values were imposed on
you or that nothing good will ever happen again then we will have to
respectfully disagree you’ve ask a very deep and insightful question proving
that your hope has gotten you this far hang onto that hope because i’m an
example of things working out despite my previous way of looking at my lifeinstead of “convincing”
yourself that you’re okay when you’re not how about calling it “accepting
yourself as okay just the way you are without judging your okayness” you
probably have high standards and that’s a thing to talk with a
counselor about the opposite of perfect is not horrible it’s called “good
enough”blocking out the bad things and
forgetting is as natural as eating and sleeping all the other mammals do it
 so why shouldn’t we this
might be called optimism
feeling alone and uncared for
is a worse feeling than being despised this is good this means 
that you don’t despise yourself as much as you just don’t care for you because
we can often project our own selfbeliefs onto others this is an abstract
concept that will take some time to get used to but i have a suspicion that
with just a little more selfcare and a little more caring for others you
might be better off very soon"
7,am i overreacting by breaking up with my boyfriend because he called me a particular profanity,it sounds like you are reacting to an issue in communication patterns rather than a particular word  the ability to listen considerately to your partner and to have your partner listen to you is one of the keystones of a successful relationship  if your partner is not listening to acknowledging and remembering your wishes that is likely an indicator of some fissures in the foundation of the relationship
8,am i somehow stressing myself out,i think you have identified something important here it is not unusual to experience feelings that do not seem to match up with what your rational mind recognizes in this case it sounds like a part of you recognizes that the people around you do not find you annoying and bothersome despite knowing that people like you it seems that there's still a part of you that feels like you are a botherfinding a local counselor who can work with you to process those feelings might be just the help you need
9,am i unworthy of being in a meaningful relationship,the most crucial key to any relationship is that mutual feeling you hold between you both that you matter sounds like you are stuck in a cycle of hearing your ex say you do not matter that is why it did not work with him btw he was not reflecting to you that you mattered however it ended clearly though that is the sentiment that is lingering with you so here you are hanging around a new man why is telling you the same message move on you are not unworthy you just have not found a man who is worthy of you to be worthy of you he must see your worth often though before anyone else can see your worth you have to believe it
