,Questions,Answers
0,A friend of my child's father is sending him inappropriate content,"It sounds like you are wanting to protect your child from degrading images and that is one of the important parts of the job of a parent. Although it is challenging to supply an answer without knowing the full situation, it might be helpful to have a more broad discussion about what you both think about the influences and images that your child is exposed to and what you think your role is in protecting your child. This situation is one about beliefs and values and could well be an example you can use for exploring your parenting roles in protecting your child."
1,About a year ago I found out my husband had cheated on me,"First of all, my heart goes out to you. Infidelity is an extremely challenging obstacle to overcome. There are some things that you should consider. First of all, did he seem truly remorseful? If you felt in his heart that he was truly sorry for what he had done, it will give you a piece of mind that it was a  mistake. Secondly, was he forthcoming with this information? How about with answering your questions after the truth was uncovered? If you found that he was still lying or not forthcoming, the sting is even more painful. He should be able to answer any question you have honestly and without hesitation.Thirdly, has he shown a positive difference after this experience? At this time, he should still be proving his faithfulness to the marriage, you and the children.Keep in mind that experiencing infidelity is a form of grief. It is not a quick process that can easily be overcome. What you are experiencing is 100% normal. My best suggestion would be to see a marriage therapist. Find out what drove your husband to cheat in the first place and decide if this aspect in his life has been resolved. I know its important for you to keep your family together but children can sense anger and frustration, this is not a healthy environment either. If you decide that you can no longer remain in the relationship, a therapist will also be able to help you cope with the separation along with addressing your children's needs.Please know that you are not alone and that unfortunately, many relationships have endured this very thing. It may also be helpful to reach out to people who have experienced similar obstacles. The web is a great resource to find groups whether online or in person to use as a support or sounding board.Best of luck to you and your family!"
2,All I can do is cry and hate myself,"Crying due to a dissolution of a marriage, is normal.  Hating yourself may be a sign of extreme sadness, feelings of loss and uncertainty.Do you know why you hate yourself? Discovering your reason is the first step in knowing the obstacles and then the additional steps possible, to move from ""hate"" to ""self-love"".Divorce signals a loss of familiar life structure and daily routines.   As with any meaningful loss, crying is part of mourning what is soon to be gone.If you have confidence in your attorney's handling of the legal areas related to the divorce, and the ""impossible"" you reference is on facing and coming to terms with statements and behaviors from your wife that you never noticed before, then your best choice is to find a therapist whom you feel at ease in talking with, to sort through the emotional upheaval within yourself and your everyday life and world.Divorce is a wonderful time for learning about ones own emotional needs and expectations in relationships since these are the areas currently coming apart.The good news behind losing something that seems valuable, is that new space becomes open to attract what is more suitable for who you are."
3,Am I a lesbian because I love a girl?,"It all depends how old you are and what a particular situation is.  You may be feeling very close to this friend and mistake that feeling for sexual feeling, or the feelings may be real. This is something you will find out for yourself, however, it definitely doesn't mean that you are a lesbian just because you have those feelings for this particular person. Time will tell, but if you need to discuss this, you could see your school councelor (if you are at school/university) or find a LGBT group with meetings and discuss this with them. I hope this is helpful."
4,Am I being picky when it comes to my boyfriend?,"Well, then your decision is whether you want to stay in this type of relationship or not.One point to keep in mind is this.Just because he's not telling you his opinions doesn't mean he doesn't have any opinions.In the long run t is always easier to talk with someone about their differences from our point of view than to be someone who doesn't tell you what is in their mind.Short term it seems easy to have someone agreeable.Long term someone who doesn't tell you their thoughts and who disagrees with you, may potentially go about their true wishes in hidden ways."
5,Am I gay if I like neither girls nor guys?,"It doesn't sound like you are finding yourself attracted to anyone.  It could mean that you just haven't connected with anyone you find attractive, or that you are asexual - essentially not oriented toward anyone.  I would suggest doing some reading on asexuality and see if it connects to how you feel!"
6,Am I going to be alone forever?,"I can relate! When things are going badly, I feel like my life has
always been and will always be that way. (But I also do this when things are
going well. That is, I forget how good things can turn bad. Personally, to
avoid this emotional roller-coaster, I try and heed the famous advice by author
and feminist Rita Mae Brown: ""One of the keys to happiness is a bad
memory.""So maybe this weakness of your for forgetting is really a
strength! It sounds a lot like living in the moment to me. And while it’s hard
to manage my past and my future, the moment seems like a small enough piece of
temporal real estate to sort out. So that’s the “what” of my answer. The “how”
goes like this: Choose one from column A, two from column B, and three from
column C in the following chart. Then try doing them for as long as you can.
Then see what happens.A                                            B                                                  CGratitude                                Forgiveness                                 AppreciationExpectations                           Meditation                                    ExerciseBitterness                               Distraction                                    Volunteering
Resentment                            Substances                                  WorryRegret                                    Possessions                                 PessimismShame                                    Desire                                          SuperstitionRage                                      Isolation                                        WishingSelf-loathing                           Criticism                                       Withholding If you feel as though what you
think and believe are out of your control, or that your values were imposed on
you, or that nothing good will ever happen again, then we will have to
respectfully disagree. You’ve ask a very deep and insightful question, proving
that your hope has gotten you this far. Hang onto that hope because I’m an
example of things working out despite my previous way of looking at my life.Instead of “convincing”
yourself that you’re okay when you’re not, how about calling it “accepting
yourself as okay just the way you are, without judging your okayness.” You
probably have high standards (perfectionism?) and that’s a thing to talk with a
counselor about. The opposite of perfect is not horrible. It’s called “good
enough.”Blocking out the bad things and
forgetting is as natural as eating and sleeping. All the other mammals do it
(except when it comes to life-threatening bad things) so why shouldn’t we? This
might be called optimism.
Feeling alone and uncared for
is a worse feeling than being despised. This is good! This means (I suppose)
that you don’t despise yourself as much as you just don’t care for you (because
we can often project our own self-beliefs onto others). This is an abstract
concept that will take some time to get used to. But I have a suspicion that,
with just a little more self-care, and a little more caring for others, you
might be better off very soon."
7,Am I overreacting by breaking up with my boyfriend because he called me a particular profanity?,"It sounds like you are reacting to an issue in communication patterns, rather than a particular word.  The ability to listen considerately to your partner and to have your partner listen to you is one of the keystones of a successful relationship.  If your partner is not listening to, acknowledging and remembering your wishes, that is likely an indicator of some fissures in the foundation of the relationship."
8,Am I somehow stressing myself out?,"I think you have identified something important here. It's not unusual to experience feelings that don't seem to match up with what your rational mind recognizes. In this case, it sounds like a part of you recognizes that the people around you do not find you ""annoying and bothersome."" Despite knowing that people like you, it seems that there's still a part of you that feels like you're a bother.Finding a local counselor who can work with you to process those feelings might be just the help you need."
9,Am I unworthy of being in a meaningful relationship?,"The most crucial key to any relationship is that mutual feeling you hold between you both: that you matter. Sounds like you are stuck in a cycle of hearing your ex say you don't matter. That's why it didn't work with him btw. He wasn't reflecting to you that you mattered. However it ended, clearly though that's the sentiment that's lingering with you. So here you are hanging around a new man why is telling you the same message. Move on. You aren't unworthy, you just haven't found a man who is worthy of you! To be worthy of you, he must see your worth. Often though before anyone else can see your worth, you have to believe it."
