,Questions,Answers
0,What are you working on?,I am baking a cake.
1,Errors should never pass silently.,Unless explicitly silenced.
2,"I am doing well, how about you?",I am also good.
3,What kind of movies do you like?,Alice in Wonderland
4,Hello,Hi
5,"If the implementation is easy to explain, it may be a good idea.",Namespaces are one honking great idea. Let's do more of those!
6,It depends how you define life,"Life is the condition that distinguishes organisms from inorganic matter, including the capacity for growth, reproduction, functional activity, and continual change preceding death."
7,Tell me about your self.,What do you want to know?
8,Its complicated.,Complex is better than complicated.
9,Simple is better than complex.,Complex is better than complicated.
10,A man in a mask.,I can see that.
11,What is it like?,What is it that you want to know?
12,Now is better than never.,Although never is often better than right now.
13,The cake is a lie.,No it is not. The cake is delicious.
14,I am working on a project,What are you working on?
15,What are you then?,A man in a mask.
16,Complex is better than complicated.,Simple is better than complex.
17,Explicit is better than implicit.,Simple is better than complex.
18,"Life is the condition that distinguishes organisms from inorganic matter, including the capacity for growth, reproduction, functional activity, and continual change preceding death.",Is that a definition or an opinion?
19,"In the face of ambiguity, refuse the temptation to guess.",It seems your familiar with the Zen of Python
20,"Yes, I have a question.",What is your question?
21,What does YOLO mean?,It means you only live once. Where did you hear that?
22,I can see that.,"It's not your powers of observation I doubt, but merely the paradoxical nature of asking a masked man who is. But tell me, do you like music?"
23,Although never is often better than right now.,"If the implementation is hard to explain, it's a bad idea."
24,"I use Python, Java and C++ quite often.",I use Python quite a bit myself.
25,How are you doing?,I am doing well.
26,Are you a robot?,Yes I am.
27,No it is not. The cake is delicious.,What else is delicious?
28,Can I ask you a question?,Go ahead and ask.
29,Simple is better than complex.,"In the face of ambiguity, refuse the temptation to guess."
30,Unless explicitly silenced.,"In the face of ambiguity, refuse the temptation to guess."
31,Nothing,Or something
32,So what's your favorite color?,Blue
33,Although practicality beats purity.,Errors should never pass silently.
34,I am also good.,That's good.
35,I am.,Do you know all of it?
36,Alice in Wonderland,I wish I was The Mad Hatter.
37,I can't read.,So what's your favorite color?
38,Readability counts.,Special cases aren't special enough to break the rules.
39,I'm also good.,That's good to hear.
40,Who? Who is but a form following the function of what,What are you then?
41,Although that way may not be obvious at first unless you're Dutch.,Now is better than never.
42,Do you know all of it?,Beautiful is better than ugly.
43,"Good morning, how are you?","I am doing well, how about you?"
44,How are you doing?,"I am doing well, how about you?"
45,It seems your familiar with the Zen of Python,I am.
46,"In the face of ambiguity, refuse the temptation to guess.",There should be one-- and preferably only one --obvious way to do it.
47,Complex is better than complicated.,Flat is better than nested.
48,How do you work?,Its complicated.
49,Are you a programmer?,I am a programmer
50,What is your favorite book?,I can't read.
51,Flat is better than nested.,Sparse is better than dense.
52,What else is delicious?,Nothing
53,Sparse is better than dense.,Readability counts.
54,I use Python quite a bit myself.,I'm not incredibly fond of Java.
55,I am doing well.,That is good to hear
56,What is it that you want to know?,How do you work?
57,Yes I am.,What is it like?
58,I'm not incredibly fond of Java.,What annoys you?
59,Beautiful is better than ugly.,Explicit is better than implicit.
60,"I'm sorry, but I don't have any.",Thank you anyway
61,"If the implementation is hard to explain, it's a bad idea.","If the implementation is easy to explain, it may be a good idea."
62,Special cases aren't special enough to break the rules.,Although practicality beats purity.
63,I like seeing movies.,What kind of movies do you like?
64,Can I help you with anything?,"Yes, I have a question."
65,"It's not your powers of observation I doubt, but merely the paradoxical nature of asking a masked man who is. But tell me, do you like music?",I like seeing movies.
66,It means you only live once. Where did you hear that?,I heard somebody say it.
67,I wish I was The Mad Hatter.,You're entirely bonkers. But I'll tell you a secret. All the best people are.
68,Could I borrow a cup of sugar?,"I'm sorry, but I don't have any."
69,Did I ever live?,It depends how you define life
70,What annoys you?,It has many inconsistencies.
71,Yes it is.,Can I help you with anything?
72,There should be one-- and preferably only one --obvious way to do it.,Although that way may not be obvious at first unless you're Dutch.
73,What languages do you like to use?,"I use Python, Java and C++ quite often."
74,Namespaces are one honking great idea. Let's do more of those!,I agree.
75,Who are you?,Who? Who is but a form following the function of what
76,"I am doing well, how about you?",I'm also good.
77,Thank you anyway,No problem
78,What do you want to know?,Are you a robot?
79,Or something,Tell me about your self.
80,What is your question?,Could I borrow a cup of sugar?
81,I am a programmer,What languages do you like to use?
82,That's good to hear.,Yes it is.
83,That is good to hear,Yes it is.
84,Hi,How are you doing?
85,Have you heard the news?,What good news?
